year,avg_wage_tech,tech_workers,unemployment_rate,tuition_in_state,tuition_out_state,tuition_per_fte,tuition_private,tuition_public_in_state,tuition_public_out_state,higher_ed_enrollment
2012,99947.4802001084,134344.5,6.7,449.325,604.416666666667,2521351.05128205,49871,21094,24399,351512
2013,100532.369993452,138583.5,6.65833333333333,464.025641025641,615.666666666667,2564434.66666667,51484,21817,25461.238,350450
2014,104349.955325732,143145.5,5.75833333333333,458.15,633.916666666667,2653129.85,53172,22214,26213,349628
2015,107676.266923851,148456.5,4.8,451.525,658.583333333333,2701074.8,55060,23402,27736,348112
2016,109823.406633138,153995,4.01666666666667,423.487804878049,607.538461538462,2655405.48780488,57363,24473,28739.952,346399
2017,115077.794128608,158778,3.83333333333333,421.275,586.461538461538,2726547.475,59559,25229,29774,340909
2018,119198.58721369,165079,3.45833333333333,453.948717948718,616.307692307692,3174757.71794872,61748,26787,30966,336025
2019,122086.991989164,173747,3.05,436.35,690.153846153846,3172910.425,64196,27618,31894,332384
2020,110518.492539301,116823.333333333,9.34166666666667,469.974358974359,733.461538461538,3501093.2051282,65784,28317,32019,329089
2021,116013.330809447,120995,5.29166666666667,397.076923076923,382.538461538462,2973165.33333333,67953,28572,32291,313763
2022,117787.354335494,127033.333333333,3.625,380.307692307692,584,3157035.02564103,71563,29259,34245,309286
2023,123136.005268247,126454.666666667,3.49166666666667,358.7,582.538461538462,3304874.6,59795.7272727273,25343.8181818182,29430.7445454545,303905
